Path	File	Name	Frames	Slices	Bits	TimeRes	XYRes	ZRes	Delay	Nickname	Rep	Zoom	Flip	From	nc14	To	SplitEarly	Notes
/Volumes/JFS/MS2/20180618 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, 2xeveNICD/	20180618 hisRFP, nosMCPGFP,m5m8peveMS2LacZ, 2xeveNICD.lif	_3D/	270	29	12	15	0.36	1	0	m5m8pevel 2xeveNICD	1	2	1,0	1	1	271	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180618 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, 2xeveNICD/	20180618 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, +.lif	_3D/	242	29	12	15	0.36	1	0	simMSEpeve +	6	2	0,0	1	1	243	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180620 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, eveNICD/	20180620 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, eveNICD.lif	_3D/	305	29	12	15	0.36	1	0	simMSEpeve eveNICD	6	2	1,0	1	25	306	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180625 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, eveNICD/	20180625 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, eveNICD 2.lif	_3D/	290	29	12	15	0.36	1	0	simMSEpeve eveNICD	7	2	0,0	1	8	291	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180626 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, eveNICD/	20180626 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, eveNICD.lif	_3D/	328	29	12	15	0.36	1	0	simMSEpeve eveNICD	8	2	0,1	1	60	329	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180628 hisRFP, nosMCPGFP,m5m8peveMS2LacZx2 zoom/	20180628 hisRFP, nosMCPGFP,m5m8peveMS2LacZx2 zoom 1.lif	_3D/	227	29	12	15	0.24	1	100	m5m8pevezx2	1	1.5	0,0	1	1	228	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180628 hisRFP, nosMCPGFP,m5m8peveMS2LacZx2 zoom/	20180628 hisRFP, nosMCPGFP,m5m8peveMS2LacZx2 zoom 2.lif	_3D/	430	29	12	15	0.24	1	0	m5m8pevezx2	2	1.5	0,0	1	90	431	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180708 hisRFP, nosMCPGFP,m5m8peveDtwiMS2LacZ, eveNICD/	20180708 hisRFP, nosMCPGFP,m5m8peveDtwiMS2LacZ, +.lif	_3D/	335	29	12	15	0.36	1	0	m5m8peveDtwi +	1	2	0,0	1	57	336	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180709 hisRFP, nosMCPGFP,m5m8peveDtwiMS2LacZ, eveNICD/	20180709 hisRFP, nosMCPGFP,m5m8peveDtwiMS2LacZ, +.lif	_3D/	419	29	12	15	0.36	1	0	m5m8peveDtwi +	2	2	0,0	1	130	420	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180710 hisRFP, nosMCPGFP,m5m8peveDtwiMS2LacZ, eveNICD/	20180710 hisRFP, nosMCPGFP,m5m8peveDtwiMS2LacZ, +.lif	_3D/	324	29	12	15	0.36	1	0	m5m8peveDtwi +	3	2	0,0	1	35	325	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180710 hisRFP, nosMCPGFP,m5m8peveDtwiMS2LacZ, eveNICD/	20180710 hisRFP, nosMCPGFP,m5m8peveDtwiMS2LacZ, eveNICD 3.lif	_3D/	323	29	12	15	0.36	1	0	m5m8peveDtwi eveNICD	2	2	0,0	1	35	324	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180710 hisRFP, nosMCPGFP,m5m8peveDtwiMS2LacZ, eveNICD/	20180710 hisRFP, nosMCPGFP,m5m8peveDtwiMS2LacZ, eveNICD.lif	_3D/	316	29	12	15	0.36	1	20	m5m8peveDtwi eveNICD	1	2	0,0	1	1	317	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180711 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, 2xeveNICD/	20180711 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, 2xeveNICD.lif	_3D/	433	29	12	15	0.36	1	0	simMSEpeve 2xeveNICD	2	2	0,0	1	155	434	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180712 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, 2xeveNICD/	20180712 hisRFP, nosMCPGFP,simMSEpeveMS2LacZ, 2xeveNICD.lif	_3D/	446	29	12	15	0.36	1	0	simMSEpeve 2xeveNICD	3	2	1,0	1	150	447	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
/Volumes/JFS/MS2/20180803 hisRFP, nosMCPGFP,simMSESPSpeveMS2LacZ, eveNICD/	20180803 hisRFP, nosMCPGFP,simMSESPSpeveMS2LacZ, eveNICD.lif	_3D/	286	29	12	15	0.36	1	0	simMSEpeveSPS eveNICD	1	2	1,1	1	18	287	15	Pinh_4_Speed_400_488_0.2_G_1_R_2_GG_700_RG_700
