Path	File	Name	Frames	Slices	Bits	TimeRes	XYRes	ZRes	Delay	Nickname	Rep	Zoom	Flip	From	nc14	To	SplitEarly	Notes
/Volumes/Mac OS/MS2/20190310 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, ctaRi/	20190310 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, ctaRi 1.lif	_3D/	325	29	12	15	0.36	1	20	m5m8peve ctaRi	2	2	0,0	1	1	326	30	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190310 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, ctaRi/	20190310 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, ctaRi 2.lif	_3D/	403	29	12	15	0.36	1	0	m5m8peve ctaRi	3	2	0,1	1	85	404	30	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/Margherita/20190226 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, w-UAS-RNAi/	20190226 RNAi w.lif	_3D/	438	29	12	15	0.36	1	0	m5m8peve wRi	1	2	1,0	1	172	439	30	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/Margherita/20190227 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, w-UAS-RNAi/	200227 RNAi w.lif	_3D/	348	29	12	15	0.36	1	0	m5m8peve wRi	2	2	1,0	1	63	349	30	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/Margherita/20190301 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, w-UAS-RNAi-2/	20190301 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, w-UAS-RNAi-2.lif	_3D/	349	29	12	15	0.36	1	0	m5m8peve wRi	4	2	0,1	1	55	350	30	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/Margherita/20190302 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, w-UAS-RNAi/	20190302 RNAi w.lif	_3D/	362	29	12	15	0.36	1	0	m5m8peve wRi	5	2	0,0	1	129	363	30	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190311 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, ctaRi/	20190311 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, ctaRi 2.lif	_3D/	481	29	12	15	0.36	1	0	m5m8peve ctaRi	4	2	0,0	1	140	482	30	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190312 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, ctaRi/	20190312 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, ctaRi 1.lif	_3D/	363	29	12	15	0.36	1	0	m5m8peve ctaRi	5	2	0,1	1	75	364	30	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190312 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, ctaRi/	20190312 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, ctaRi 2.lif	_3D/	453	29	12	15	0.36	1	0	m5m8peve ctaRi	6	2	1,0	1	135	454	30	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
/Volumes/Mac OS/MS2/20190318 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, ctaRi/	20190318 hisRFP, nosMCPGFP, m5m8peveMS2lacZ, atubG4, ctaRi 1.lif	_3D/	281	29	12	15	0.36	1	0	m5m8peve ctaRi	7	2	1,1	1	44	282	30	Pinh_4_Speed_400_488_0.2_G_1.5_R_2_GG_700_RG_700
